LGA_id,LGA_name,Bat,Bear,Fox,Lion,Raccoon,Horse,Lizard,Snake,Crocodile,Alligator,Turtle,Owl,Hummingbird,Crane,Penguin,Duck,Woodpecker,Turkey,Praying Mantis,Butterfly,Ant,Tarantula,Crab
20110,Alpine (S),340.32,0,311.16,34.65,406.02,40.88,113.04,54.29,144.44,105.97,89.58,310.78,202.02,64.89,145.28,23.87,222.97,118.68,44.68,306.58,279.26,111.35,99.37
20260,Ararat (RC),0,0,123.57,18.25,232.37,83.95,109.89,0,66.16,252.24,80.87,266.02,0,8.57,372.43,74.36,78.31,125.47,33.62,100.07,165.17,188.04,30.69
20570,Ballarat (C),93.12,29.85,341.76,34.32,0,265.74,59.19,193.9,65.02,0,78.1,94.73,136.83,71.89,0,173.01,235.1,11.12,48.74,248.33,25.2,0,11.6
20660,Banyule (C),98.24,28.88,202.93,11.49,163.68,217.2,38.26,16.49,11.79,45.8,8.54,57.08,203.49,76.41,21.67,162.37,86.74,64.24,74.79,58.14,230.56,62.7,177.62
20740,Bass Coast (S),308.13,7.53,343.25,0,148.34,183.65,151.15,302.64,93.98,189.79,43.38,278.14,21.68,27.25,237.11,178.17,4.31,86.29,38.71,284.11,490.95,175.32,126.61
20830,Baw Baw (S),405.43,19.36,373.74,20.04,0,0,8.24,103.7,141.59,66.37,40.72,87.98,57.06,73.51,253.91,228.78,88.15,102.44,34.5,196.83,322.55,186.83,8.28
20910,Bayside (C),86.48,4.86,40.03,2.88,216.64,201.65,24.62,307.97,85.73,103.39,37.94,11.4,0,0,232.18,282.37,223.37,25.78,61.41,14.73,28.52,17.38,0
21010,Benalla (RC),325.7,21.03,166.13,16.39,147.75,179.45,30.57,137.34,12.59,197.43,59.91,130.78,0,45.92,129.2,136.52,209.83,0,2.94,132.52,118.63,0,170.04
21110,Boroondara (C),0,0,277.7,14.77,0,230.89,8.45,2.44,26.36,179.09,83.18,32.59,81.39,17.71,203.29,230.44,5.45,132.33,48.39,99.15,238.25,213.97,121.18
21180,Brimbank (C),0,27.98,192.67,14.61,132.93,72.97,169.89,38.89,137.03,34.88,77.6,237.23,163.76,44.35,13.2,0,46.73,23.48,58.54,80.27,443.83,34.94,14.74
21270,Buloke (S),209.44,16.79,148.37,12.51,160.67,162.98,168.9,258.02,0,77.02,3.29,145.24,115.47,79.6,161.77,207.47,120.39,90.63,76.1,151,109.93,141.04,147.72
21370,Campaspe (S),114.67,16.06,153.52,14.43,178.33,101.83,0,10.49,60.7,94.44,136.66,0,188.89,81.48,98.29,76.2,57.1,71.61,48.71,215.53,174.87,76.44,153.74
21450,Cardinia (S),437.01,16.77,289.62,1.87,295.59,0,190.97,16.91,102.96,160.74,29.98,60.22,78.39,13.3,235.86,260.1,154.55,81.61,68.93,8.46,300.92,245.68,72.78
21610,Casey (C),134.71,24.85,239.52,0,162.47,142.51,121.74,73.75,0,170.23,127.12,0,186.3,62.64,186.25,56.99,144.91,29.41,49.06,111.33,51.48,163.3,6.43
21670,Central Goldfields (S),336.46,28.2,328.14,24.05,0,0,11.13,0,0,101.57,62.11,322.34,161.37,66.22,20.72,25.5,119.1,0,53.01,20.32,391.88,44.79,95.94
21750,Colac-Otway (S),278.92,25.7,6.69,20.45,230.5,2.69,166.76,131.84,99.49,169.05,48.79,72.42,22.95,36.09,378.38,177.03,0,23.67,67.78,163.94,282.99,161.65,170.22
21830,Corangamite (S),322.8,0,296.34,17.2,0,239.79,15.47,0,137.87,18.96,63.57,290.73,69.52,10.6,275.69,261.96,232.31,116.61,4.86,192.14,255.11,0,96.47
21890,Darebin (C),53.4,25.76,319.68,0,132.81,0,3.84,291.2,11.14,0,57.45,388.75,184.59,13.38,109.03,0,13.28,147.65,13.88,243.43,471.32,0,7.78
22110,East Gippsland (S),76.2,12.88,120.19,26.95,158.99,98.19,79.53,115.22,114.92,89.08,123.05,85.71,222.4,74.54,0,23.14,130.06,124.29,47.19,222.83,79.27,14.93,51.6
22170,Frankston (C),363.8,22.56,35.07,2.3,329.79,95.16,0,284.23,87.23,212.78,51.42,88.01,22.48,78.47,332.82,188.97,176.87,145.57,66.25,160.88,228.49,13.11,79.7
22250,Gannawarra (S),126.64,0,333.82,8.3,20.21,110.48,148.9,185.93,0,165.58,143.68,102.83,96.95,37.64,109.15,79.43,20.01,0,14.91,165.06,217.94,52.58,95.21
22310,Glen Eira (C),395.67,30.1,10.57,19.7,368,272.25,0,311.07,63.01,32.95,0,335.35,0,9.16,130.99,29.78,129.58,43.83,45.43,187.38,16.86,105.89,84.01
22410,Glenelg (S),227.02,0,5.52,14.89,380.93,182.5,54.84,359.25,0,43.08,107.68,139.1,237.55,0,220.66,24.54,85.04,18,27.16,93.88,186.56,0,32.01
22490,Golden Plains (S),296.96,18.41,116.2,32.22,135.93,127.47,165.52,362,124.47,220.32,0,0,78.52,22.05,379.28,226.29,56.72,112.51,9.41,157.41,260.29,79.82,80
22620,Greater Bendigo (C),273.8,18.48,169.18,0,289.96,184.95,35.54,0,16.56,227.09,39.91,123.15,155.57,27.76,0,168.17,64.68,95.27,2.71,212.53,272.31,193.85,0
22670,Greater Dandenong (C),67.67,11.93,352.38,4.82,274.22,88.51,8.85,409.53,15.99,106.9,107.34,47.46,161.62,49.31,295.63,290.33,60.56,80.16,52.39,293.76,442.84,119.43,139.26
22750,Greater Geelong (C),180.84,13.1,168.91,21.84,408.78,74.01,156.32,0,78.55,181.95,0,20.36,209.9,6.26,189.38,99.83,141.12,75.2,36.32,0,213.99,112.69,157.26
22830,Greater Shepparton (C),328.78,25.57,259.3,19.03,0,235.19,186.3,52.86,0,39.83,161.63,257.82,0,1.93,210.59,46.43,31.07,23.07,68.48,171.27,331.38,68.3,106.99
22910,Hepburn (S),278.01,5.48,79.31,12.07,22.28,61.83,132.88,106.5,14.98,97.01,66.99,205.88,129.84,49.44,133.98,117.59,242.14,65.69,29.52,269.42,174.74,123.83,0
