LGA_id,LGA_name,Bat,Bear,Fox,Lion,Raccoon,Horse,Lizard,Snake,Crocodile,Alligator,Turtle,Owl,Hummingbird,Crane,Penguin,Duck,Woodpecker,Turkey,Praying Mantis,Butterfly,Ant,Tarantula,Wolf Spider
20110,Alpine (S),13.66,13.06,0,0,229.72,163.91,175.52,61.07,166.52,4.75,99.95,0,206.36,12.52,192.55,232.19,124.67,112.73,37.74,61.48,275.66,61.11,0
20260,Ararat (RC),117.43,9.98,109.76,30.59,0,48.24,189.11,316.89,147.57,159.58,161.70,193.05,20.35,53.18,115.58,326.80,184.21,129.56,50.24,0,376.81,53.57,67.90
20570,Ballarat (C),381.32,30.57,0,13.58,226.85,28.94,92.75,188.58,4.27,158.02,0,72.86,179.31,6.99,28.89,20.28,94.20,100.10,80.31,87.56,0,44.46,63.04
20660,Banyule (C),189.15,27.01,361.57,18.42,290.77,85.51,166.59,318.22,151.02,0,86.55,372.18,185.68,25.55,237.56,27.58,0,7.01,41.53,276.05,228.72,131.46,80.97
20740,Bass Coast (S),429.87,27.27,152.24,8.09,340.89,0,28.20,52.74,153.57,155.84,17.73,220.59,80.36,53.48,363.04,38.76,46.75,121.90,67.65,303.17,60.25,52.38,160.02
20830,Baw Baw (S),442.43,22.39,294.83,0,82.80,266.75,19.15,139.90,46.91,234.27,0,0,227.82,1.85,4.26,38.28,94.38,142.85,48.50,0,333.52,0,155.98
20910,Bayside (C),382.86,7.58,152.08,32.76,320.76,271.83,147.21,260.60,0,64.89,0,186.68,237.74,61.12,96.42,259.39,2.01,38.99,2.90,271.55,318.15,117.25,142.46
21010,Benalla (RC),265.29,27.01,220.37,11.54,437.36,0,122.27,278.52,145.63,34.47,16.47,67.35,149.83,80.17,189.44,273.39,0,21.30,46.94,275.73,384.83,219.26,0
21110,Boroondara (C),127.10,11.71,291.25,20.57,26.71,11.65,0,231.06,156.99,113.56,62.08,47.07,94.98,56.93,0,172.51,59.19,0,63.35,46.07,368.21,137.67,12.17
21180,Brimbank (C),377.27,31.60,249.09,21.76,3.71,0,65.99,1.10,19.50,150.28,29.10,44.29,166.09,73.09,334.10,72.52,33.14,57.84,47.70,244.82,437.09,202.49,180.27
21270,Buloke (S),393.90,15.11,81.24,22.24,392.58,250.28,50.90,137.24,0,127.16,105.52,330.52,11.54,19.90,5.71,325.16,63.67,76.16,64.15,25.45,397.04,242.67,127.99
21370,Campaspe (S),360.73,10.54,20.27,13.96,25.23,120.01,176.64,140.39,126.89,51.69,69.02,379.34,65.19,25.92,343.24,166.50,42.77,0,44.81,206.87,249.69,220.31,167.55
21450,Cardinia (S),373.23,1.69,98.89,19.98,37.64,195.19,90.10,375.13,120.34,0,6.32,208.02,218.82,8.55,261.61,229.52,230.79,111.16,15.80,18.22,0,66.29,87.63
21610,Casey (C),278.88,20.91,314.13,25.04,434.26,217.46,55.10,4.34,144.15,255.00,7.38,0,222.33,77.53,236.29,223.12,18.70,0,4.10,146.62,218.50,49.30,159.31
